ObjectId,Country,ISO3,Indicator,Unit,CTS_Name,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021
1,"Afghanistan, Islamic Rep. of",AFG,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,Surface Temperature Change,1.109,1.366,1.384,0.615,1.427,0.491,1.78,0.736,0.804,0.929,1.646,1.446,0.234,1.308,0.457,1.101,1.607,1.568,1.58,0.96,0.544,1.421
2,Albania,ALB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,Surface Temperature Change,1.112,1.555,0.492,1.023,0.462,0.255,0.426,1.45,1.103,1.009,1.274,1.108,1.568,1.444,1.322,1.665,1.601,1.269,2.146,1.823,1.623,1.682
3,Algeria,DZA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,Surface Temperature Change,0.798,1.827,1.222,1.567,0.964,1.238,1.373,1.198,1.164,0.927,2.249,1.39,1.128,1.173,1.676,1.101,1.736,1.498,1.211,1.094,1.913,2.317
4,American Samoa,ASM,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,Surface Temperature Change,0.67,0.948,1.196,0.719,0.215,0.844,0.446,0.894,0.46,,1.047,0.642,0.646,0.883,0.554,0.394,0.924,0.82,0.574,0.924,0.815,0.653
5,"Andorra, Principality of",AND,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,Surface Temperature Change,1.015,1.476,0.828,1.946,0.919,0.835,1.463,0.974,0.891,1.358,0.411,1.617,1.196,0.757,1.857,1.546,1.83,1.771,1.761,1.813,2.401,1.367
6,Angola,AGO,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,Surface Temperature Change,0.316,0.425,0.868,1.058,0.558,1.21,0.636,0.955,0.601,0.744,1.303,0.923,0.576,1.09,0.879,1.43,1.847,1.064,1.504,1.975,1.387,1.631
7,Anguilla,AIA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,Surface Temperature Change,0.276,0.611,0.776,0.918,0.549,0.826,0.6,0.876,0.344,0.577,1.107,0.507,0.652,0.778,0.821,1.07,1.164,0.98,0.728,0.861,1.246,0.91
8,Antigua and Barbuda,ATG,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,Surface Temperature Change,0.384,,0.681,0.9,0.566,0.864,0.561,0.847,0.303,0.482,1.147,0.576,0.682,0.766,0.723,1.032,1.105,0.965,0.694,0.806,1.141,0.873
9,Argentina,ARG,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,Surface Temperature Change,-0.187,0.415,0.28,0.615,0.421,0.228,0.547,-0.219,0.55,0.793,0.102,0.36,0.787,0.437,0.951,0.953,0.492,1.1,0.876,0.756,1.109,1.011
10,"Armenia, Rep. of",ARM,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,Surface Temperature Change,1.038,1.412,1.125,0.117,1.144,0.51,1.627,0.682,0.811,0.681,2.805,0.676,1.272,1.407,1.258,1.921,1.339,0.901,2.781,1.853,1.966,2.212
11,"Aruba, Kingdom of the Netherlands",ABW,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,Surface Temperature Change,-0.069,0.531,0.688,0.796,0.338,0.493,0.49,0.867,0.276,0.703,1.25,0.354,0.554,1.017,0.804,1.604,0.781,1.177,0.817,1.152,1.479,
12,Australia,AUS,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,Surface Temperature Change,0.124,0.311,0.706,0.807,0.698,1.181,0.683,0.887,0.582,0.986,0.624,0.156,0.258,1.459,1.166,1.062,1.145,1.122,1.112,1.411,1.404,0.589
13,Austria,AUT,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,Surface Temperature Change,1.768,1.504,1.539,1.473,0.839,0.638,0.921,2.15,1.593,1.552,0.662,1.381,1.791,1.103,2.427,2.183,2.111,1.753,2.535,2.369,2.32,1.397
14,"Azerbaijan, Rep. of",AZE,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,Surface Temperature Change,1.115,1.425,1.416,-0.125,1.331,0.879,1.528,0.98,0.928,0.799,2.356,0.768,1.475,1.565,1.242,1.667,1.455,1.306,2.252,2.012,2.038,2.109
15,"Bahamas, The",BHS,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,Surface Temperature Change,0.29,0.229,0.952,1.096,0.42,0.48,0.424,0.973,0.893,0.494,0.399,0.453,0.452,0.677,0.994,1.23,1.164,1.456,1.168,1.585,1.693,0.688
16,"Bahrain, Kingdom of",BHR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,Surface Temperature Change,1.05,1.136,1.492,1.157,1.274,0.945,1.682,0.885,1.127,1.017,1.993,1.207,1.152,1.274,1.67,2.212,1.489,1.95,2.11,1.986,1.982,2.427
17,Bangladesh,BGD,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,Surface Temperature Change,0.209,0.339,0.4,0.251,0.291,0.631,0.845,0.337,0.129,0.915,0.849,0.176,0.343,0.267,0.482,0.699,1.273,1.085,0.866,1.109,0.915,1.315
18,Barbados,BRB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,Surface Temperature Change,0.349,0.563,0.531,0.781,0.564,0.998,0.723,0.573,0.227,0.357,1.091,0.615,0.432,0.786,0.447,0.983,,,0.775,1.111,1.033,1.132
