Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Afghanistan, Islamic Rep. of",1,2,5,8,2,11,12,7,3,4,4,4,10,5,3,5,4,5,6,7,7,4
Albania,,,2,,2,2,,2,,1,1,,1,,,3,1,2,1,,,1
Algeria,5,1,3,5,2,3,1,7,1,2,,1,2,,,2,,1,1,1,,3
American Samoa,,,,1,1,1,,,,,,,,,,,,,,,,
Angola,5,3,1,2,4,1,1,2,1,3,3,4,1,1,,3,4,2,1,3,3,2
Anguilla,,,,,,,,,,,,,,,,,,1,,,,
Antigua and Barbuda,,,,,,,,,1,,1,,,,,,,1,,,,
Argentina,8,7,4,4,3,1,1,3,1,5,1,,3,2,4,4,2,4,5,4,2,2
"Armenia, Rep. of",1,,,,1,,,,,,,,,2,,,1,,1,1,1,
Australia,5,9,5,10,6,4,8,2,5,6,8,3,2,3,4,8,3,3,3,3,3,7
Austria,2,,3,1,,3,1,2,1,4,,,1,1,,,1,2,,2,,1
"Azerbaijan, Rep. of",2,,,1,,,,,,1,1,,1,,,,,,,,,
Azores Island,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",,1,,,3,1,,1,2,,,1,1,1,,1,1,1,,1,,
Bangladesh,11,7,6,7,7,12,7,5,5,6,6,5,5,3,4,7,3,5,4,6,2,2
Barbados,,,1,,1,,,,,,2,,,,,,,1,,,,1
"Belarus, Rep. of",1,,,,,1,,1,,,,,1,1,1,,,1,1,,,
Belgium,,,5,2,,3,1,1,2,,3,2,1,2,1,1,2,,2,3,2,3
Belize,1,2,,,,2,,1,2,,1,,,,,1,1,,,,1,
Benin,,,,,,,,1,1,3,1,1,1,2,,,,,,,1,1
Bermuda,,,,1,,,,,,,,,,,,,,,,,,
Bhutan,1,,,,1,,,,,1,,,,,,,,,,,,1
Bolivia,4,2,3,4,1,1,2,3,2,1,4,2,1,5,4,1,3,,1,4,2,7
Bosnia and Herzegovina,2,1,,1,2,2,,1,,3,3,,1,,4,1,,,,2,1,1
Botswana,1,,,,1,,,,,3,,1,,1,,1,,1,1,1,,
Brazil,6,5,5,5,5,4,2,5,5,9,5,8,3,6,5,6,2,1,3,8,7,8
British Virgin Islands,,,,,,,,,,,,,,,,,,2,,,,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,4,2,1,,,7,2,6,1,,2,,3,,5,1,,,1,,,2
Burkina Faso,,1,,1,,,2,1,2,2,1,1,1,1,1,1,1,1,,,4,
Burundi,1,,2,1,3,2,7,2,3,2,4,2,,,1,2,,1,3,3,3,1
Cabo Verde,,,1,,,,,,,1,,,,,,1,,1,,,,
Cambodia,1,2,2,,1,2,2,1,,2,1,1,1,1,1,2,1,,1,1,2,4
Cameroon,1,2,,1,,2,,1,1,,1,,3,1,1,1,,1,,1,1,
Canada,1,2,2,7,4,5,5,3,2,3,1,4,3,3,2,1,2,3,4,2,2,4
Canary Island,,1,1,,1,1,,1,,,,,,,,,,,,,,
Cayman Islands,,1,2,,2,,,,2,,,,,,,,,,,,,
Central African Rep.,,1,1,1,1,1,,1,1,3,1,2,2,2,,1,,2,,1,,1
Chad,,2,,,,,1,3,2,3,1,,3,,,,,1,,2,2,1
Chile,3,4,5,1,2,3,1,1,2,,1,4,2,1,2,4,1,5,,2,,2
"China, P.R.: Hong Kong",,,,2,,1,,,3,1,1,,,,,,,2,1,,,2
"China, P.R.: Macao",,,,,,,,,,,,,,,,,,2,,,,
"China, P.R.: Mainland",24,27,24,16,18,28,30,19,23,24,21,13,22,34,33,31,30,26,20,13,11,12
Colombia,3,6,5,4,2,4,1,4,3,3,6,3,3,1,5,4,2,7,2,6,6,11
"Comoros, Union of the",,,,1,,,,,,1,,,1,,1,,,,,2,,
"Congo, Dem. Rep. of the",,3,1,4,,1,4,1,2,2,4,2,1,,2,4,2,2,1,3,6,
"Congo, Rep. of",,,1,,,1,1,1,,,,,2,,,,,,,2,2,1
Cook Islands,,1,,,,1,,,,,1,,,,,,,,,,,
Costa Rica,1,1,2,1,2,3,,2,4,,2,1,1,,1,1,1,1,2,,1,1
Côte d'Ivoire,,,,,,,,1,1,1,2,,,,2,1,1,1,1,1,1,
"Croatia, Rep. of",3,1,,3,,3,1,2,,,3,,3,,2,1,,2,1,1,,
Cuba,2,1,3,1,3,2,2,3,5,,,,3,1,,2,1,1,2,1,2,2
Cyprus,3,,,1,1,,,1,,,,,,,,,,,,,,1
Czech Rep.,1,,3,1,,3,2,1,1,2,4,,2,1,,,,1,1,,1,3
Denmark,,,1,,,1,,1,,,1,,,2,,,,,,,,
Djibouti,,,,,1,1,,1,1,,1,,,,,,,,1,1,1,
Dominica,,,,,,,,1,,,,1,,,,1,,1,,,,
Dominican Rep.,,1,1,3,4,3,,5,3,2,3,3,4,1,1,3,3,3,2,,2,2
Ecuador,3,2,2,1,,,1,,1,2,2,2,2,4,,1,2,,,2,1,2
"Egypt, Arab Rep. of",1,,2,,1,,,,,,3,,,,,3,1,,,,1,1
El Salvador,2,2,2,,,4,1,2,2,2,3,1,,,1,2,,1,2,,4,1
"Eritrea, The State of",,,,1,1,,,,1,,,,,,,,,,,,,
"Estonia, Rep. of",,,,,,2,,,,,,,1,,,,,,1,,,
"Eswatini, Kingdom of",1,1,,,,1,1,2,1,,,,,,1,,1,,,1,,1
"Ethiopia, The Federal Dem. Rep. of",4,3,1,2,,5,7,2,4,1,3,2,,1,,2,2,,2,2,4,2
"Fiji, Rep. of",1,1,,1,2,1,2,4,1,2,1,,3,,,1,2,,2,1,3,1
Finland,,,,,,1,,,,,,,,,,,,,,,,
France,7,7,5,6,1,5,3,3,4,4,4,2,1,3,7,3,1,3,7,9,7,8
French Polynesia,,,,,,,,,,,1,,,,,,,1,,,,
Gabon,,,,,,,,,,1,2,,1,,,,,,,,,
"Gambia, The",,1,1,1,1,,,1,2,2,2,,1,1,,1,,1,,1,,1
Georgia,1,1,,,2,1,1,,,,,1,2,3,1,1,,,1,1,1,1
Germany,,1,4,3,1,5,5,3,3,3,4,1,2,4,2,,1,3,2,3,1,3
Germany Dem Rep (former),,,,,,,,,,,,,,,,,,,,,,
Germany Fed Rep (former),,,,,,,,,,,,,,,,,,,,,,
Ghana,,1,2,,,,,1,1,2,2,2,,1,,1,1,2,1,2,2,2
Greece,5,2,5,3,2,,3,4,,2,1,,2,,1,2,1,2,1,1,2,1
Grenada,,,1,,1,,,,,,1,,,,,,,,,,,
Guam,,,2,,2,,,,,,,,,,,,,,,,,
Guatemala,2,3,3,2,,4,1,3,4,2,5,6,1,,4,3,2,6,3,2,5,3
Guinea,1,1,,,1,,1,1,1,1,2,1,,1,,2,,1,,,1,1
Guinea-Bissau,,,1,1,1,,1,,1,,1,,,,,,,,1,,,
Guyana,,,,,,1,1,,1,,1,,,,,1,,1,,,,1
Haiti,2,2,2,5,3,8,3,7,4,3,5,4,5,1,2,2,8,5,,2,1,3
Honduras,2,2,4,2,1,5,1,3,2,1,4,1,1,,3,,3,4,2,,4,1
Hungary,1,2,1,2,1,4,2,1,1,,1,,1,2,1,,1,1,1,1,,
Iceland,,,,,,,,,,,,,,,,,,,,,,
India,13,17,13,16,6,25,20,20,11,17,17,12,9,11,16,19,15,18,23,12,11,16
Indonesia,8,8,9,13,7,6,12,10,13,7,8,8,11,12,8,11,12,10,8,14,26,21
