,ISO3,Indicator,Year,Disaster Count,Country of birth/nationality,outflow_migration,Temp,INDICATOR,SUBJECT,MEASURE,FREQUENCY,population_millions,Flag Codes
0,ARG,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,8.0,Argentina,14314.0,-0.187,POP,TOT,MLN_PER,A,36.783859,
1,AUS,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,5.0,Australia,31389.0,0.124,POP,TOT,MLN_PER,A,19.028802,
2,AUT,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,2.0,Austria,17749.0,1.768,POP,TOT,MLN_PER,A,8.011566,
3,BEL,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,,Belgium,12841.0,1.468,POP,TOT,MLN_PER,A,10.251251,
4,BRA,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,6.0,Brazil,71556.0,0.53,POP,TOT,MLN_PER,A,173.765726,
5,BGR,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,4.0,Bulgaria,26960.0,1.183,POP,TOT,MLN_PER,A,8.170172,
6,CAN,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,1.0,Canada,34653.0,1.309,POP,TOT,MLN_PER,A,30.68573,
7,CHL,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,3.0,Chile,6549.0,-0.167,POP,TOT,MLN_PER,A,15.343326,
8,CHN,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,24.0,China,282191.0,0.554,POP,TOT,MLN_PER,A,1264.09907,
9,COL,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,3.0,Colombia,68053.0,-0.078,POP,TOT,MLN_PER,A,40.295563,
10,CRI,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,1.0,Costa Rica,1711.0,-0.297,POP,TOT,MLN_PER,A,3.872349,
11,HRV,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,3.0,Croatia,25053.0,1.623,POP,TOT,MLN_PER,A,4.548433,
12,CYP,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,3.0,Cyprus,1099.0,0.589,POP,TOT,MLN_PER,A,0.69402,
13,CZE,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,1.0,Czech Republic,15500.0,1.902,POP,TOT,MLN_PER,A,10.272503,
14,DNK,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,,Denmark,13610.0,1.722,POP,TOT,MLN_PER,A,5.337344,
15,EST,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,,Estonia,1703.0,2.043,POP,TOT,MLN_PER,A,1.396985,
16,FIN,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,,Finland,11188.0,2.019,POP,TOT,MLN_PER,A,5.176203,
17,FRA,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,7.0,France,70578.0,1.141,POP,TOT,MLN_PER,A,60.72478,
18,DEU,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,,Germany,71332.0,1.755,POP,TOT,MLN_PER,A,82.211501,
19,GRC,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,5.0,Greece,27879.0,0.667,POP,TOT,MLN_PER,A,10.805806,
20,HUN,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,1.0,Hungary,24475.0,1.753,POP,TOT,MLN_PER,A,10.210965,
21,ISL,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,,Iceland,2294.0,0.309,POP,TOT,MLN_PER,A,0.2812,
22,IND,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,13.0,India,113082.0,0.309,POP,TOT,MLN_PER,A,1059.633677,
23,IDN,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,8.0,Indonesia,28749.0,0.285,POP,TOT,MLN_PER,A,211.513822,
24,IRL,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,1.0,Ireland,9139.0,0.548,POP,TOT,MLN_PER,A,3.789536,
25,ISR,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,2.0,Israel,8465.0,0.312,POP,TOT,MLN_PER,A,6.2892,
26,ITA,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,4.0,Italy,61481.0,1.217,POP,TOT,MLN_PER,A,56.942108,
27,JPN,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,4.0,Japan,33906.0,0.601,POP,TOT,MLN_PER,A,126.925843,
28,KOR,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,5.0,Korea,58501.0,0.445,POP,TOT,MLN_PER,A,47.008111,
29,LVA,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,,Latvia,1890.0,1.997,POP,TOT,MLN_PER,A,2.367549,
30,LTU,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,,Lithuania,4444.0,2.019,POP,TOT,MLN_PER,A,3.499534,
31,LUX,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,,Luxembourg,943.0,1.636,POP,TOT,MLN_PER,A,0.436303,
32,MEX,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,6.0,Mexico,180936.0,0.586,POP,TOT,MLN_PER,A,98.785275,
33,NLD,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,,Netherlands,28255.0,1.587,POP,TOT,MLN_PER,A,15.925505,
34,NZL,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,2.0,New Zealand,46768.0,0.276,POP,TOT,MLN_PER,A,3.8577,
35,NOR,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,1.0,Norway,11898.0,1.447,POP,TOT,MLN_PER,A,4.490973,
36,POL,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,1.0,Poland,104429.0,1.878,POP,TOT,MLN_PER,A,38.2584775,
37,PRT,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,1.0,Portugal,28755.0,0.613,POP,TOT,MLN_PER,A,10.289898,
38,ROU,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,5.0,Romania,87720.0,1.341,POP,TOT,MLN_PER,A,22.442973,
39,RUS,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,19.0,Russia,84138.0,1.317,POP,TOT,MLN_PER,A,146.596873,
40,SAU,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,,Saudi Arabia,4377.0,0.742,POP,TOT,MLN_PER,A,20.66384,
41,SVK,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,1.0,Slovak Republic,18129.0,1.626,POP,TOT,MLN_PER,A,5.400679,
42,SVN,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,,Slovenia,2908.0,1.8,POP,TOT,MLN_PER,A,1.990272,
43,ZAF,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,5.0,South Africa,31644.0,0.271,POP,TOT,MLN_PER,A,46.813268,
44,ESP,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,5.0,Spain,22891.0,0.742,POP,TOT,MLN_PER,A,40.554387,
45,SWE,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,,Sweden,17453.0,1.729,POP,TOT,MLN_PER,A,8.872112,
46,CHE,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,1.0,Switzerland,9638.0,1.409,POP,TOT,MLN_PER,A,7.18425,
47,TUR,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,4.0,Turkey,83364.0,0.484,POP,TOT,MLN_PER,A,64.268751,
48,GBR,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,6.0,United Kingdom,94735.0,0.713,POP,TOT,MLN_PER,A,58.886065,
49,USA,"Climate related disasters frequency, Number of Disasters: TOTAL",2000,30.0,United States,100834.0,0.992,POP,TOT,MLN_PER,A,282.162411,
50,ARG,"Climate related disasters frequency, Number of Disasters: TOTAL",2001,7.0,Argentina,26665.0,0.415,POP,TOT,MLN_PER,A,37.156654,
51,AUS,"Climate related disasters frequency, Number of Disasters: TOTAL",2001,9.0,Australia,48691.0,0.311,POP,TOT,MLN_PER,A,19.274701,
52,AUT,"Climate related disasters frequency, Number of Disasters: TOTAL",2001,,Austria,17594.0,1.504,POP,TOT,MLN_PER,A,8.042293,
53,BEL,"Climate related disasters frequency, Number of Disasters: TOTAL",2001,,Belgium,11532.0,1.317,POP,TOT,MLN_PER,A,10.286571,
54,BRA,"Climate related disasters frequency, Number of Disasters: TOTAL",2001,5.0,Brazil,83645.0,0.736,POP,TOT,MLN_PER,A,176.208646,
55,BGR,"Climate related disasters frequency, Number of Disasters: TOTAL",2001,2.0,Bulgaria,36177.0,1.629,POP,TOT,MLN_PER,A,8.0091415,
56,CAN,"Climate related disasters frequency, Number of Disasters: TOTAL",2001,2.0,Canada,40467.0,1.438,POP,TOT,MLN_PER,A,31.020902,
57,CHL,"Climate related disasters frequency, Number of Disasters: TOTAL",2001,4.0,Chile,7487.0,0.059,POP,TOT,MLN_PER,A,15.520049,
58,CHN,"Climate related disasters frequency, Number of Disasters: TOTAL",2001,27.0,China,342553.0,1.02,POP,TOT,MLN_PER,A,1272.739581,
